date,event_ids,title,research_status
2023-01-29,evt_legacy_ed9a69976f228b3831ce4951,LisAni！LIVE 2023 SUNDAY STAGE,public event pages found but no reliable song order
2024-05-18,evt_legacy_672c853e2bb5f23f6dc96c46,fripSide phase3 concert tour -the Dawn of Resonance- @神戸 Harbor Studio,tour structure known but this date's song variation is unverified
2024-05-19,evt_legacy_9dee4752f41c2878c9048a08,fripSide phase3 concert tour -the Dawn of Resonance- @四日市 CLUB ROOTS,tour structure known but this date's song variation is unverified
2024-05-25,evt_legacy_912743ed09982833e6697b12,fripSide phase3 concert tour -the Dawn of Resonance- @秋田 Club SWINDLE,tour structure known but this date's song variation is unverified
2024-05-26,evt_legacy_db5b967af212c72abe5205f6,fripSide phase3 concert tour -the Dawn of Resonance- @山形 SESSION,tour structure known but this date's song variation is unverified
2024-06-08,evt_legacy_3601faf21bfd3f2fd2178155,fripSide phase3 concert tour -the Dawn of Resonance- @周南 RISING HALL,tour structure known but this date's song variation is unverified
2024-06-09,evt_legacy_50757d2eb3f13f1056c45b81,fripSide phase3 concert tour -the Dawn of Resonance- @佐賀 GEILS,tour structure known but this date's song variation is unverified
2024-06-29,evt_legacy_c1718fe937ba1fe28543d8da,fripSide phase3 concert tour -the Dawn of Resonance- @YOKOHAMA BAY HALL,tour structure known but this date's song variation is unverified
2024-09-21,evt_legacy_8ee67f70bc37751b8e901767|evt_official_3c870103de1c7dae678d181b,ANISAMA WORLD in ABEMAアニメ祭 夜公演,no reliable fripSide-only song order found; production has duplicate event rows
2024-11-10,evt_legacy_58036124898f21f67a4e043d,fripSide phase3 concert tour -the Dawn of Resonance- @岐阜 Club-G,tour structure known but this date's song variation is unverified
2024-11-16,evt_legacy_b2f812e74ccced9ceb64b244,fripSide phase3 concert tour -the Dawn of Resonance- @柏 PALOOZA,tour structure known but this date's song variation is unverified
2024-11-23,evt_legacy_1802db716040b0ab505f15f5,ANIMAX MUSIX 2024 FALL,no reliable fripSide-only song order found
2024-11-30,evt_legacy_98560c447bcc9a90f4d21771,fripSide phase3 concert tour -the Dawn of Resonance- @長崎 DRUM Be-7,tour structure known but this date's song variation is unverified
2024-12-01,evt_legacy_6e3448090a6fab54876ad9e7,fripSide phase3 concert tour -the Dawn of Resonance- @熊本 B.9 V2,tour structure known but this date's song variation is unverified
2024-12-07,evt_legacy_1f4e2174d9df9381d802d1b1,fripSide phase3 concert tour -the Dawn of Resonance- @滋賀 U★STONE,tour structure known but this date's song variation is unverified
2024-12-08,evt_legacy_ef96ae309b6a06c152b64717,fripSide phase3 concert tour -the Dawn of Resonance- @奈良 NEVER LAND,tour structure known but this date's song variation is unverified
2024-12-14,evt_legacy_46d8882bf2e9c06a4ca1142c,京 Premium Live 2024,no reliable fripSide-only song order found
2024-12-22,evt_legacy_8c394e5d751d2f52e56a9f73,ジャンプフェスタ2025,no reliable fripSide-only song order found
2024-12-28,evt_legacy_00d8a1cad5af2bdb6ba36b5f,fripSide phase3 concert tour -the Dawn of Resonance- @和歌山 CLUB GATE,tour structure known but this date's song variation is unverified
2025-06-24,evt_legacy_37fbcc2da4e052d41726d39f,オーイシマサヨシ×鈴木愛理のでしょフェス!!2025,no reliable fripSide-only song order found
2025-07-06,evt_legacy_a34e3c9bd1040b9da0fe16ba,リスパレ！LIVE vol.3,public setlist database explicitly has no setlist
2025-08-09,evt_legacy_7a9644b00601ac338bc10e2d,コカ・コーラ SUMMER FES 音楽LIVE,public event pages found but no reliable song order
2025-08-23,evt_legacy_645e0851bb794aeac80f423f,KIMCHIKURA Fes VOL.4,public event pages found but no reliable song order
